Group;Participant;Sound;Language;Time;Alondra;Inhibition;Compactness;Precision_L2
Auditory;101;e;L1;T0;267;-0,0648;4292.744757;94.12076574
Auditory;102;e;L1;T0;253;0;4054.703109;11.74512169
Auditory;103;e;L1;T0;191;0;1948.855908;67.68335096
Auditory;104;e;L1;T0;237;0;2510.46772;22.29820332
Auditory;105;e;L1;T0;218;0;3703.739397;32.29335158
Auditory;107;e;L1;T0;255;-0,315;3113.039354;12.60335054
Auditory;108;e;L1;T0;242;0;12371.76655;119.6965237
Auditory;109;e;L1;T0;175;0;3277.974803;86.85886703
Auditory;110;e;L1;T0;236;-0,2518;8923.116074;72.92548503
Auditory;111;e;L1;T0;186;0;7295.075613;13.66341955
Auditory;112;e;L1;T0;180;0;5913.945325;93.66096542
Auditory;113;e;L1;T0;230;-0,0941;1764.169849;69.51142574
Auditory;114;e;L1;T0;250;-0,0115;701.4891911;52.40160943
Auditory;115;e;L1;T0;194;-0,2189;7514.037851;27.46646577
Auditory;116;e;L1;T0;197;-0,345;8737.474161;6.08317525
Auditory;117;e;L1;T0;247;0;3683.418981;43.49444149
Auditory;118;e;L1;T0;193;-0,4282;5443.56634;11.25055599
Auditory;119;e;L1;T0;183;-0,1424;5203.126761;5.226423922
Auditory;120;e;L1;T0;229;-0,1764;3583.549166;27.86434709
Auditory;121;e;L1;T0;216;0;3345.697144;9.879616661
Auditory;122;e;L1;T0;220;-0,1658;11317.82281;26.20238152
Auditory;123;e;L1;T0;252;-0,1044;2724.239628;221.5203131
Auditory;124;e;L1;T0;226;-0,1132;6666.396558;220.2212577
Auditory;125;e;L1;T0;263;0;10453.41469;39.36308065
Auditory;126;e;L1;T0;138;-0,7027;4751.017319;209.6514233
Conflicting;201;e;L1;T0;187;-0,1641;3429.15099;83.04454233
Conflicting;202;e;L1;T0;230;0;5793.305533;70.51625515
Conflicting;203;e;L1;T0;212;-1,2584;2994.859287;26.8592277
Conflicting;204;e;L1;T0;278;0;2858.4955;88.30654034
Conflicting;205;e;L1;T0;234;-0,056;7235.655934;31.04233833
Conflicting;206;e;L1;T0;234;-0,1904;4156.319521;35.55456869
