Group;Participant;Sound;Token#;F1;F2;F3;Language;Time;VerbalInt;BestBq;BestEng;ExpL1;Alondra;Inhibition;Precision_E;Precision_y;Distance
Auditory;101;e;1;511;2381;3391;L1;T0;101;50;42;60;267;-0,0648;94.12076574;43.48207134;0.843057386
Auditory;101;e;2;485;2269;3065;L1;T0;101;50;42;60;267;-0,0648;94.12076574;43.48207134;4.117654469
Auditory;101;e;3;514;2350;3016;L1;T0;101;50;42;60;267;-0,0648;94.12076574;43.48207134;0.23535217
Auditory;101;e;4;559;2138;3128;L1;T0;101;50;42;60;267;-0,0648;94.12076574;43.48207134;10.14819126
Auditory;101;e;5;504;2259;2994;L1;T0;101;50;42;60;267;-0,0648;94.12076574;43.48207134;1.476867006
Auditory;101;e;6;528;2398;3121;L1;T0;101;50;42;60;267;-0,0648;94.12076574;43.48207134;1.360393938
Auditory;101;e;7;502;2313;3069;L1;T0;101;50;42;60;267;-0,0648;94.12076574;43.48207134;0.920390595
Auditory;101;e;8;524;2397;2991;L1;T0;101;50;42;60;267;-0,0648;94.12076574;43.48207134;1.156335424
Auditory;101;e;9;532;2289;3029;L1;T0;101;50;42;60;267;-0,0648;94.12076574;43.48207134;0.61029913
Auditory;101;e;10;481;2339;3092;L1;T0;101;50;42;60;267;-0,0648;94.12076574;43.48207134;4.35612695
Auditory;101;e;11;525;2373;3055;L1;T0;101;50;42;60;267;-0,0648;94.12076574;43.48207134;0.613636556
Auditory;101;e;12;547;2334;3001;L1;T0;101;50;42;60;267;-0,0648;94.12076574;43.48207134;2.273609966
Auditory;101;e;13;519;2344;3067;L1;T0;101;50;42;60;267;-0,0648;94.12076574;43.48207134;0.100143293
Auditory;101;e;14;503;2353;2981;L1;T0;101;50;42;60;267;-0,0648;94.12076574;43.48207134;0.951448939
Auditory;101;e;15;528;2424;3080;L1;T0;101;50;42;60;267;-0,0648;94.12076574;43.48207134;2.240616687
Auditory;101;e;16;515;2369;3007;L1;T0;101;50;42;60;267;-0,0648;94.12076574;43.48207134;0.472982445
Auditory;101;e;17;524;2310;3092;L1;T0;101;50;42;60;267;-0,0648;94.12076574;43.48207134;0.075987428
Auditory;101;e;18;515;2125;2932;L1;T0;101;50;42;60;267;-0,0648;94.12076574;43.48207134;7.16060412
Auditory;101;e;19;518;2359;3012;L1;T0;101;50;42;60;267;-0,0648;94.12076574;43.48207134;0.272731454
Auditory;101;e;20;494;2324;2975;L1;T0;101;50;42;60;267;-0,0648;94.12076574;43.48207134;1.903998544
Auditory;101;e;21;528;2295;2983;L1;T0;101;50;42;60;267;-0,0648;94.12076574;43.48207134;0.314973746
Auditory;101;e;22;546;2383;3105;L1;T0;101;50;42;60;267;-0,0648;94.12076574;43.48207134;2.895062412
Auditory;101;e;23;526;2326;3101;L1;T0;101;50;42;60;267;-0,0648;94.12076574;43.48207134;0.130970576
Auditory;101;e;24;540;2347;3063;L1;T0;101;50;42;60;267;-0,0648;94.12076574;43.48207134;1.397868467
Auditory;101;e;25;520;2217;2936;L1;T0;101;50;42;60;267;-0,0648;94.12076574;43.48207134;1.970697044
Auditory;102;e;2;563;2375;3194;L1;T0;;39;46;60;253;0;11.74512169;143.2045427;3.359441429
Auditory;102;e;3;581;2431;3275;L1;T0;;39;46;60;253;0;11.74512169;143.2045427;4.795911901
Auditory;102;e;4;525;2398;3215;L1;T0;;39;46;60;253;0;11.74512169;143.2045427;3.621237863
Auditory;102;e;5;525;2500;3241;L1;T0;;39;46;60;253;0;11.74512169;143.2045427;0.190376906
Auditory;102;e;6;518;2507;3254;L1;T0;;39;46;60;253;0;11.74512169;143.2045427;0.540201271
Auditory;102;e;7;533;2538;3288;L1;T0;;39;46;60;253;0;11.74512169;143.2045427;1.280961813
Auditory;102;e;8;528;2592;3253;L1;T0;;39;46;60;253;0;11.74512169;143.2045427;4.312696505
Auditory;102;e;9;527;2449;3306;L1;T0;;39;46;60;253;0;11.74512169;143.2045427;0.731709504
Auditory;102;e;10;505;2463;3228;L1;T0;;39;46;60;253;0;11.74512169;143.2045427;3.033453552
Auditory;102;e;11;531;2445;3295;L1;T0;;39;46;60;253;0;11.74512169;143.2045427;0.599269169
Auditory;102;e;12;548;2471;3319;L1;T0;;39;46;60;253;0;11.74512169;143.2045427;0.470112074
Auditory;102;e;13;489;2599;3287;L1;T0;;39;46;60;253;0;11.74512169;143.2045427;5.470539928
Auditory;102;e;14;507;2518;3283;L1;T0;;39;46;60;253;0;11.74512169;143.2045427;1.519354622
Auditory;102;e;15;553;2395;3259;L1;T0;;39;46;60;253;0;11.74512169;143.2045427;2.065075564
Auditory;102;e;16;531;2453;3163;L1;T0;;39;46;60;253;0;11.74512169;143.2045427;0.383034674
Auditory;102;e;17;506;2491;3306;L1;T0;;39;46;60;253;0;11.74512169;143.2045427;1.936829864
Auditory;102;e;18;555;2459;3232;L1;T0;;39;46;60;253;0;11.74512169;143.2045427;0.971949725
Auditory;102;e;19;524;2454;3317;L1;T0;;39;46;60;253;0;11.74512169;143.2045427;0.813362096
Auditory;102;e;20;566;2432;3228;L1;T0;;39;46;60;253;0;11.74512169;143.2045427;2.172765539
Auditory;102;e;21;536;2484;3119;L1;T0;;39;46;60;253;0;11.74512169;143.2045427;0.031198713
Auditory;102;e;22;534;2558;3304;L1;T0;;39;46;60;253;0;11.74512169;143.2045427;2.415718527
Auditory;102;e;23;535;2450;3210;L1;T0;;39;46;60;253;0;11.74512169;143.2045427;0.307994778
Auditory;102;e;24;563;2485;3269;L1;T0;;39;46;60;253;0;11.74512169;143.2045427;2.629060698
Auditory;102;e;25;530;2562;3277;L1;T0;;39;46;60;253;0;11.74512169;143.2045427;2.347743286
Auditory;103;e;1;526;2424;2983;L1;T0;102;30;50;90;191;0;67.68335096;44.21602206;2.757192097
Auditory;103;e;2;511;2398;2966;L1;T0;102;30;50;90;191;0;67.68335096;44.21602206;0.652591049
Auditory;103;e;3;524;2389;2913;L1;T0;102;30;50;90;191;0;67.68335096;44.21602206;0.372938236
Auditory;103;e;4;502;2425;2982;L1;T0;102;30;50;90;191;0;67.68335096;44.21602206;2.309277222
Auditory;103;e;5;534;2407;2989;L1;T0;102;30;50;90;191;0;67.68335096;44.21602206;2.994965297
Auditory;103;e;6;521;2397;2995;L1;T0;102;30;50;90;191;0;67.68335096;44.21602206;0.471241042
Auditory;103;e;7;471;2443;3016;L1;T0;102;30;50;90;191;0;67.68335096;44.21602206;12.50227185
Auditory;103;e;8;533;2376;2975;L1;T0;102;30;50;90;191;0;67.68335096;44.21602206;0.979318876
Auditory;103;e;9;522;2460;3051;L1;T0;102;30;50;90;191;0;67.68335096;44.21602206;5.997727859
Auditory;103;e;10;529;2375;2961;L1;T0;102;30;50;90;191;0;67.68335096;44.21602206;0.421573855
Auditory;103;e;11;534;2286;2916;L1;T0;102;30;50;90;191;0;67.68335096;44.21602206;3.919972194
Auditory;103;e;12;528;2333;2924;L1;T0;102;30;50;90;191;0;67.68335096;44.21602206;0.764804795
Auditory;103;e;13;527;2343;2920;L1;T0;102;30;50;90;191;0;67.68335096;44.21602206;0.411008879
Auditory;103;e;14;528;2378;2895;L1;T0;102;30;50;90;191;0;67.68335096;44.21602206;0.39313469
Auditory;103;e;15;527;2352;2912;L1;T0;102;30;50;90;191;0;67.68335096;44.21602206;0.207903299
Auditory;103;e;16;515;2330;2907;L1;T0;102;30;50;90;191;0;67.68335096;44.21602206;2.206503976
Auditory;103;e;17;527;2349;2898;L1;T0;102;30;50;90;191;0;67.68335096;44.21602206;0.262147308
Auditory;103;e;18;530;2312;2918;L1;T0;102;30;50;90;191;0;67.68335096;44.21602206;1.888005709
Auditory;103;e;19;535;2315;2919;L1;T0;102;30;50;90;191;0;67.68335096;44.21602206;1.740408748
Auditory;103;e;20;517;2353;2900;L1;T0;102;30;50;90;191;0;67.68335096;44.21602206;0.594035287
Auditory;103;e;21;495;2388;2878;L1;T0;102;30;50;90;191;0;67.68335096;44.21602206;3.942041297
Auditory;103;e;22;522;2399;2919;L1;T0;102;30;50;90;191;0;67.68335096;44.21602206;0.610110044
Auditory;103;e;23;527;2356;2889;L1;T0;102;30;50;90;191;0;67.68335096;44.21602206;0.156512388
Auditory;103;e;24;530;2333;2928;L1;T0;102;30;50;90;191;0;67.68335096;44.21602206;0.776812651
Auditory;103;e;25;533;2343;2936;L1;T0;102;30;50;90;191;0;67.68335096;44.21602206;0.66750135
Auditory;104;e;1;546;2312;2842;L1;T0;105;20;48;90;237;0;22.29820332;98.90285879;2.932435286
Auditory;104;e;2;564;2381;3053;L1;T0;105;20;48;90;237;0;22.29820332;98.90285879;0.240529912
Auditory;104;e;3;586;2354;2954;L1;T0;105;20;48;90;237;0;22.29820332;98.90285879;2.341028634
Auditory;104;e;4;515;2454;2954;L1;T0;105;20;48;90;237;0;22.29820332;98.90285879;7.823411648
Auditory;104;e;5;551;2338;2932;L1;T0;105;20;48;90;237;0;22.29820332;98.90285879;0.925709445
Auditory;104;e;6;568;2342;3020;L1;T0;105;20;48;90;237;0;22.29820332;98.90285879;0.396083035
Auditory;104;e;7;570;2309;2985;L1;T0;105;20;48;90;237;0;22.29820332;98.90285879;1.626549807
Auditory;104;e;8;576;2406;2967;L1;T0;105;20;48;90;237;0;22.29820332;98.90285879;2.402171891
Auditory;104;e;9;574;2312;2910;L1;T0;105;20;48;90;237;0;22.29820332;98.90285879;1.641973517
Auditory;104;e;10;560;2378;3020;L1;T0;105;20;48;90;237;0;22.29820332;98.90285879;0.074606241
Auditory;104;e;11;578;2391;3036;L1;T0;105;20;48;90;237;0;22.29820332;98.90285879;1.967907008
Auditory;104;e;12;548;2410;2985;L1;T0;105;20;48;90;237;0;22.29820332;98.90285879;1.041132311
Auditory;104;e;13;568;2385;2999;L1;T0;105;20;48;90;237;0;22.29820332;98.90285879;0.581517917
Auditory;104;e;14;564;2319;2976;L1;T0;105;20;48;90;237;0;22.29820332;98.90285879;1.090642368
Auditory;104;e;15;546;2341;2971;L1;T0;105;20;48;90;237;0;22.29820332;98.90285879;1.335882478
Auditory;104;e;16;540;2357;2995;L1;T0;105;20;48;90;237;0;22.29820332;98.90285879;1.618250189
Auditory;104;e;17;526;2331;2947;L1;T0;105;20;48;90;237;0;22.29820332;98.90285879;5.875175354
Auditory;104;e;18;535;2469;2998;L1;T0;105;20;48;90;237;0;22.29820332;98.90285879;5.532232682
Auditory;104;e;19;556;2396;3022;L1;T0;105;20;48;90;237;0;22.29820332;98.90285879;0.413207931
Auditory;104;e;20;577;2292;2916;L1;T0;105;20;48;90;237;0;22.29820332;98.90285879;2.908161328
Auditory;104;e;21;565;2338;2966;L1;T0;105;20;48;90;237;0;22.29820332;98.90285879;0.404349057
Auditory;104;e;22;568;2426;3002;L1;T0;105;20;48;90;237;0;22.29820332;98.90285879;2.596621061
Auditory;104;e;23;579;2351;2981;L1;T0;105;20;48;90;237;0;22.29820332;98.90285879;1.238400123
Auditory;104;e;24;565;2372;2976;L1;T0;105;20;48;90;237;0;22.29820332;98.90285879;0.150343004
Auditory;104;e;25;564;2401;3049;L1;T0;105;20;48;90;237;0;22.29820332;98.90285879;0.841677773
Auditory;105;e;1;491;2253;2821;L1;T0;117;30;41;60;218;0;32.29335158;74.16703822;0.000567492
